연령,직종,학교급,평균,중위값,p25,p75,count
30,직원,대학교,3028900.0,3028900.0,3028900.0,3028900.0,1
31,직원,대학교,3765480.0,3765480.0,3765480.0,3765480.0,1
34,직원,대학교,6334100.0,6334100.0,6334100.0,6334100.0,1
35,직원,대학교,3789000.0,3534870.0,485340.0,6838530.0,4
36,교원,대학교,2582515.0,2582515.0,1489912.5,3675117.5,2
36,직원,고등학교,3541100.0,3541100.0,3541100.0,3541100.0,1
36,직원,대학교,6835775.0,7252960.0,6412725.0,7676010.0,4
37,교원,대학교,2505433.3333333335,1682600.0,1194750.0,3404700.0,3
37,직원,고등학교,4249320.0,4249320.0,4249320.0,4249320.0,1
37,직원,대학교,7211303.333333333,7728520.0,6511860.0,7880510.0,6
38,교원,대학교,3194596.6666666665,2742650.0,1654680.0,3778450.0,6
38,직원,고등학교,1062330.0,1062330.0,1062330.0,1062330.0,1
38,직원,대학교,8004624.0,7940760.0,7829760.0,8286000.0,5
38,직원,전문대학,1420160.0,1420160.0,1420160.0,1420160.0,1
39,교원,고등학교,5439900.0,5439900.0,5439900.0,5439900.0,1
39,교원,대학교,4289598.0,3993120.0,1399100.0,6176700.0,5
39,직원,대학교,8052182.222222222,8229000.0,7086700.0,9381840.0,9
39,직원,전문대학,5598660.0,5598660.0,4940190.0,6257130.0,2
40,교원,고등학교,6527880.0,6527880.0,6527880.0,6527880.0,1
40,교원,대학교,3669944.4444444445,3993120.0,1690720.0,5073000.0,9
40,직원,고등학교,6330805.0,6330805.0,4995127.5,7666482.5,2
40,직원,대학교,8430672.0,8530320.0,7484160.0,9210060.0,10
40,직원,전문대학,5230213.333333333,4388760.0,3592280.0,6447420.0,3
41,교원,고등학교,5822000.0,5822000.0,5452800.0,6191200.0,2
41,교원,대학교,4788727.142857143,4944120.0,4369080.0,5579970.0,7
41,직원,고등학교,9461160.0,9461160.0,9461160.0,9461160.0,1
41,직원,대학교,7989925.0,8683140.0,6300435.0,10062840.0,12
41,직원,전문대학,6103460.0,6003420.0,4326200.0,7780680.0,4
42,교원,고등학교,6474715.0,6412320.0,5710245.0,7176790.0,4
42,교원,대학교,7286204.444444444,7152120.0,4944120.0,8682200.0,9
42,직원,고등학교,9801720.0,9801720.0,9801720.0,9801720.0,1
42,직원,대학교,7986053.846153846,8546520.0,7128840.0,10776000.0,13
42,직원,전문대학,5700231.428571428,5732600.0,3232940.0,8408100.0,7
42,직원,특수학교,4966400.0,4966400.0,4966400.0,4966400.0,1
43,교원,고등학교,8954630.0,6682230.0,6172425.0,9447570.0,6
43,교원,대학교,5736198.666666667,4968840.0,2468745.0,7962120.0,15
43,교원,전문대학,5049200.0,5049200.0,5049200.0,5049200.0,1
43,직원,대학교,7709779.5,8649985.0,4253410.0,11127780.0,20
43,직원,전문대학,4363662.5,4154190.0,2118065.0,5910910.0,8
43,직원,초등학교,4340760.0,4340760.0,4340760.0,4340760.0,1
43,직원,특수학교,5959680.0,5959680.0,5959680.0,5959680.0,1
44,교원,고등학교,8251475.0,7439160.0,6532685.0,9628890.0,8
44,교원,대학교,5576840.0,5273400.0,4362300.0,7227720.0,15
44,교원,전문대학,6200144.0,4516800.0,3805830.0,9956880.0,5
44,직원,대학교,9399498.94736842,10927300.0,6267300.0,12562140.0,19
44,직원,전문대학,5043090.909090909,5214360.0,858410.0,7846950.0,11
44,직원,초등학교,8681520.0,8681520.0,8681520.0,8681520.0,1
44,직원,특수학교,2948790.0,2948790.0,1691665.0,4205915.0,2
45,교원,고등학교,5557936.363636363,4953330.0,1416365.0,6996190.0,11
45,교원,대학교,5460726.315789473,6139600.0,2056055.0,8444460.0,19
45,교원,전문대학,9149400.0,9078720.0,7660800.0,9706560.0,5
45,직원,대학교,10655488.57142857,11676360.0,8091120.0,13122360.0,21
45,직원,전문대학,6549986.666666667,7782840.0,1003075.0,8854665.0,12
45,직원,초등학교,8724840.0,8724840.0,8724840.0,8724840.0,1
45,직원,특수학교,5250046.666666667,5143200.0,4880350.0,5566320.0,3
46,교원,고등학교,10718590.0,8511890.0,2628015.0,16964940.0,14
46,교원,대학교,4764188.8,4516890.0,1074160.0,7556520.0,25
46,교원,전문대학,7903145.714285715,9192960.0,2660910.0,12401085.0,7
46,직원,대학교,10272609.393939395,10935300.0,5276680.0,13231200.0,33
46,직원,유치원,22854720.0,22854720.0,21983820.0,23725620.0,2
46,직원,전문대학,8272954.545454546,7646760.0,4486815.0,10062360.0,11
46,직원,초등학교,8942880.0,8942880.0,8942880.0,8942880.0,1
46,직원,특수학교,5950640.0,6139080.0,5840040.0,6155460.0,3
47,교원,고등학교,6682645.0,5643755.0,918060.0,8815515.0,8
47,교원,대학교,6690152.916666667,7173720.0,3064892.5,9736065.0,24
47,교원,전문대학,7026412.7272727275,6800120.0,1938970.0,9977760.0,11
47,직원,고등학교,11138280.0,11138280.0,11138280.0,11138280.0,1
47,직원,대학교,16890348.62745098,15325920.0,11089930.0,23277420.0,51
47,직원,유치원,22854720.0,22854720.0,21983820.0,23725620.0,2
47,직원,전문대학,8670919.090909092,8036760.0,3907755.0,10625140.0,11
47,직원,중학교,20155920.0,20155920.0,20155920.0,20155920.0,1
47,직원,초등학교,9398880.0,9398880.0,9398880.0,9398880.0,1
47,직원,특수학교,3964075.0,4240320.0,1962475.0,6241920.0,4
48,교원,고등학교,6725341.25,7181085.0,551827.5,11658090.0,8
48,교원,대학교,7916729.310344827,8140440.0,5636400.0,10140480.0,29
48,교원,전문대학,9027399.166666666,8052410.0,4420932.5,15570375.0,12
48,직원,고등학교,16224660.0,14217900.0,13198710.0,18247230.0,3
48,직원,대학교,18915691.97530864,21788640.0,12641280.0,25312440.0,81
48,직원,법인,18748820.0,18748820.0,13874190.0,23623450.0,2
48,직원,유치원,22854720.0,22854720.0,21983820.0,23725620.0,2
48,직원,전문대학,11153297.142857144,9258720.0,6559575.0,15064970.0,14
48,직원,중학교,15334110.0,15334110.0,12923205.0,17745015.0,2
48,직원,초등학교,9737160.0,9737160.0,9737160.0,9737160.0,1
48,직원,특수학교,5365025.0,5995690.0,5037615.0,6323100.0,4
49,교원,고등학교,19118533.333333332,18479820.0,17632680.0,22423605.0,6
49,교원,대학교,7847732.162162162,7753060.0,3181710.0,10191240.0,37
49,교원,전문대학,9313670.0,7886100.0,3198940.0,12074600.0,18
49,교원,중학교,24180400.0,24180400.0,24180400.0,24180400.0,1
49,직원,고등학교,16613875.454545455,14047560.0,11361010.0,22312440.0,11
49,직원,대학교,18654154.583333332,21736740.0,12721920.0,25388250.0,168
49,직원,법인,26569440.0,27133560.0,25605120.0,27815820.0,3
49,직원,유치원,22854720.0,22854720.0,21983820.0,23725620.0,2
49,직원,전문대학,13279185.263157895,10203400.0,8242540.0,19206250.0,19
49,직원,중학교,20534200.0,20422080.0,20289000.0,20723340.0,3
49,직원,초등학교,17096100.0,17096100.0,17096100.0,17096100.0,1
49,직원,특수학교,5386040.0,6357720.0,4605840.0,6652080.0,3
50,교원,고등학교,17845581.666666668,17648760.0,10194220.0,24203445.0,12
50,교원,대학교,8176773.823529412,7099025.0,3475357.5,10087620.0,34
50,교원,전문대학,8886867.2,6813200.0,4403340.0,12093410.0,25
50,교원,중학교,19478520.0,19478520.0,14709540.0,24247500.0,2
50,직원,고등학교,18093234.615384616,22353420.0,11984675.0,24400440.0,26
50,직원,대학교,19908373.913043477,22953720.0,13197120.0,25899995.0,276
50,직원,법인,26795520.0,27811800.0,25944240.0,28154940.0,3
50,직원,유치원,22854720.0,22854720.0,21983820.0,23725620.0,2
50,직원,전문대학,16278946.666666666,17017080.0,8435160.0,24391650.0,30
50,직원,중학교,19178455.714285713,19885080.0,19039875.0,20289000.0,7
50,직원,초등학교,29454120.0,29454120.0,29454120.0,29454120.0,1
50,직원,특수학교,5542600.0,6681960.0,4840680.0,6814200.0,3
51,교원,고등학교,19665687.272727273,19278720.0,10372720.0,28166280.0,33
51,교원,대학교,9936047.5,8349960.0,6604115.0,11447085.0,40
51,교원,유치원,23958240.0,23958240.0,23958240.0,23958240.0,1
51,교원,전문대학,11721654.642857144,7525540.0,6457910.0,16913590.0,28
51,교원,중학교,23402455.555555556,25784400.0,25236900.0,28674120.0,9
51,교원,초등학교,26293560.0,26293560.0,26293560.0,26293560.0,1
51,교원,특수학교,21148332.0,26690500.0,11065360.0,28252200.0,5
51,직원,고등학교,22801732.258064516,24315360.0,20764200.0,27148510.0,31
51,직원,대학교,20997693.078556262,23684160.0,15560430.0,27216840.0,471
51,직원,법인,26650240.0,26647040.0,24616170.0,28681110.0,4
51,직원,유치원,22968900.0,22968900.0,22093650.0,23844150.0,2
51,직원,전문대학,17030011.489361703,19604070.0,8258450.0,25093920.0,47
51,직원,중학교,18448707.272727273,19885080.0,12995130.0,20723340.0,11
51,직원,초등학교,13670490.0,11553030.0,2368710.0,22854810.0,4
51,직원,특수학교,12468456.0,6981120.0,6922440.0,19502640.0,5
52,교원,고등학교,22504024.596774194,26126100.0,11197960.0,28386990.0,124
52,교원,대학교,11458342.127659574,9169320.0,6234060.0,15894100.0,47
52,교원,유치원,12158010.0,10241300.0,8355860.0,14043450.0,4
52,교원,전문대학,15046508.148148147,14615040.0,6808800.0,20776980.0,27
52,교원,중학교,23532791.702127658,25784400.0,17421780.0,27784020.0,47
