연령,직종,학교급,평균,중위값,p25,p75,count
19,교원,유치원,118460.0,118460.0,118460.0,118460.0,1
19,직원,유치원,65000.0,65000.0,65000.0,65000.0,1
20,교원,유치원,176920.0,153980.0,121675.0,220695.0,3
20,직원,대학교,223724.44444444444,204220.0,191020.0,262400.0,9
20,직원,법인,158380.0,158380.0,158380.0,158380.0,1
20,직원,유치원,99837.0,98750.0,86612.5,110782.5,10
21,교원,유치원,97233.6,91000.0,79880.0,110500.0,25
21,직원,대학교,320017.64705882355,312780.0,219520.0,347640.0,17
21,직원,유치원,133893.57142857142,122665.0,96142.5,172052.5,14
21,직원,전문대학,192070.0,192070.0,192070.0,192070.0,1
22,교원,유치원,114578.7969924812,109660.0,88217.5,125587.5,532
22,직원,대학교,376223.9393939394,366100.0,174420.0,520110.0,33
22,직원,유치원,117458.09523809524,102290.0,85330.0,144930.0,21
22,직원,전문대학,156407.5,119160.0,102757.5,148732.5,28
22,직원,중학교,158120.0,158120.0,158120.0,158120.0,1
23,교원,유치원,132164.45263754964,120610.0,102290.0,141570.0,3526
23,직원,고등학교,3289960.0,3289960.0,3289960.0,3289960.0,1
23,직원,대학교,254310.96774193548,226710.0,190140.0,283300.0,403
23,직원,법인,171020.0,171020.0,171020.0,171020.0,1
23,직원,유치원,124891.71428571429,109400.0,81725.0,132470.0,35
23,직원,전문대학,174233.26923076922,170040.0,128302.5,221592.5,52
23,직원,특수학교,116180.0,116180.0,116180.0,116180.0,1
24,교원,고등학교,192705.0,192705.0,190162.5,195247.5,2
24,교원,유치원,180292.86406173042,169000.0,116955.0,236100.0,6091
24,교원,전문대학,233870.0,233870.0,233870.0,233870.0,2
24,교원,초등학교,191226.66666666666,188500.0,177850.0,203240.0,3
24,직원,고등학교,1147148.5714285714,275630.0,192850.0,1921750.0,7
24,직원,대학교,277468.22874493926,245030.0,203100.0,322605.0,2964
24,직원,유치원,152822.92307692306,127850.0,97500.0,178750.0,65
24,직원,전문대학,283440.98039215687,212670.0,126755.0,244965.0,51
24,직원,중학교,193693.33333333334,212630.0,167505.0,229350.0,3
25,교원,고등학교,223271.42857142858,220130.0,142000.0,298585.0,7
25,교원,유치원,246149.69604052792,237260.0,133440.0,318500.0,7501
25,교원,중학교,356700.0,356700.0,356700.0,356700.0,1
25,교원,초등학교,262895.71428571426,232870.0,210665.0,274085.0,7
25,직원,고등학교,275805.0,270410.0,160532.5,384687.5,8
25,직원,대학교,402354.2234636872,369625.0,258575.0,510337.5,5370
25,직원,법인,411945.0,411945.0,408737.5,415152.5,2
25,직원,유치원,252392.0588235294,190325.0,114742.5,282982.5,68
25,직원,전문대학,248897.33333333334,202035.0,161100.0,247485.0,60
25,직원,중학교,339562.5,332190.0,207195.0,464557.5,4
25,직원,특수학교,270936.6666666667,289380.0,244035.0,307060.0,3
26,교원,고등학교,426699.0,425355.0,236467.5,593612.5,10
26,교원,대학교,157068.57142857142,78540.0,78540.0,201680.0,7
26,교원,유치원,365859.21595427435,276420.0,146967.5,406102.5,8048
26,교원,전문대학,204270.0,204270.0,145035.0,263505.0,2
26,교원,중학교,580926.6666666666,618690.0,440940.0,739795.0,3
26,교원,초등학교,428650.0,380100.0,353650.0,535615.0,11
26,교원,특수학교,274215.0,274215.0,265947.5,282482.5,2
26,직원,고등학교,340185.0,277825.0,216317.5,431852.5,8
26,직원,대학교,526118.2826379542,469630.0,286855.0,702660.0,7430
26,직원,법인,150800.0,150800.0,150800.0,150800.0,1
26,직원,유치원,221144.77777777778,163910.0,104292.5,281800.0,90
26,직원,전문대학,658634.0625,213795.0,171357.5,316180.0,32
26,직원,중학교,200986.0,204050.0,194990.0,229370.0,5
26,직원,특수학교,270935.0,270935.0,221537.5,320332.5,2
27,교원,고등학교,327645.0,203125.0,165080.0,412020.0,16
27,교원,대학교,394786.6666666667,256030.0,183195.0,481685.0,15
27,교원,유치원,698993.6382113821,324160.0,169602.5,567337.5,7872
27,교원,전문대학,172860.0,173060.0,156675.0,189145.0,3
27,교원,중학교,498043.3333333333,441710.0,390265.0,577655.0,3
27,교원,초등학교,483764.44444444444,519990.0,276320.0,611610.0,9
27,교원,특수학교,455916.6666666667,389780.0,279625.0,599140.0,3
27,직원,고등학교,332037.8947368421,241150.0,188925.0,510545.0,19
27,직원,대학교,715163.2953929539,571415.0,312000.0,873680.0,7380
27,직원,법인,449512.5,477640.0,380335.0,546817.5,4
27,직원,유치원,358128.42696629214,189880.0,113750.0,346660.0,89
27,직원,전문대학,518295.8620689655,251880.0,184520.0,391792.5,58
27,직원,중학교,216398.88888888888,181250.0,162040.0,257260.0,9
27,직원,초등학교,1536155.0,224755.0,187450.0,1573460.0,4
27,직원,특수학교,210880.0,216200.0,190845.0,233575.0,3
28,교원,고등학교,501259.03225806454,371660.0,222530.0,621960.0,31
28,교원,대학교,632119.5833333334,204365.0,166220.0,374815.0,24
28,교원,유치원,968487.200899761,358210.0,180630.0,2043610.0,7113
28,교원,전문대학,237530.0,213560.0,171212.5,248355.0,6
28,교원,중학교,425301.4285714286,356890.0,197085.0,590830.0,7
28,교원,초등학교,600960.0,516295.0,408727.5,829712.5,8
28,교원,특수학교,518810.0,434230.0,194840.0,758200.0,4
28,직원,고등학교,669874.1666666666,263175.0,177742.5,401475.0,24
28,직원,대학교,1165408.1485435413,701480.0,338610.0,1102980.0,6557
28,직원,법인,409408.5714285714,412600.0,283430.0,470440.0,7
28,직원,유치원,504584.3298969072,225420.0,143000.0,363630.0,97
28,직원,전문대학,305368.8679245283,243500.0,190000.0,290730.0,53
28,직원,중학교,790695.7142857143,199135.0,160540.0,304550.0,14
28,직원,특수학교,462626.6666666667,531980.0,384305.0,575625.0,3
29,교원,고등학교,815841.3513513514,560840.0,343800.0,873320.0,37
29,교원,대학교,1122879.3617021276,412390.0,262960.0,724735.0,47
29,교원,유치원,1235828.120423108,412530.0,208300.0,2483260.0,6145
29,교원,전문대학,286411.8181818182,293920.0,163985.0,397195.0,11
29,교원,중학교,1535873.3333333333,159310.0,152820.0,2230645.0,3
29,교원,초등학교,1169333.3333333333,584770.0,410340.0,769600.0,15
29,교원,특수학교,1347495.0,495445.0,325032.5,1517907.5,4
29,직원,고등학교,886052.5,413965.0,171082.5,694762.5,20
29,직원,대학교,1842736.8514851485,912150.0,427560.0,1579360.0,6565
29,직원,법인,574402.8571428572,591100.0,381255.0,791250.0,7
29,직원,유치원,611330.1111111111,234160.0,116760.0,466380.0,90
29,직원,전문대학,518522.7631578947,282530.0,175815.0,483260.0,76
29,직원,중학교,737250.0,268315.0,162857.5,569492.5,8
29,직원,초등학교,245395.0,245395.0,200382.5,290407.5,2
29,직원,특수학교,352161.25,226180.0,188830.0,373795.0,8
30,교원,고등학교,1042204.2592592592,420245.0,231527.5,795382.5,54
30,교원,대학교,1237173.6607142857,409480.0,246042.5,753397.5,112
30,교원,유치원,1421246.9260179698,438310.0,219615.0,2783350.0,5231
30,교원,전문대학,813147.1428571428,430440.0,194685.0,619680.0,7
30,교원,중학교,1679288.1818181819,683250.0,426240.0,2325835.0,11
30,교원,초등학교,932318.75,637295.0,412030.0,931480.0,16
30,교원,특수학교,5086730.0,5086730.0,5086730.0,5086730.0,1
30,직원,고등학교,824685.0,457985.0,269795.0,617655.0,24
30,직원,대학교,2882740.9618824823,1267970.0,609480.0,5350335.0,7267
30,직원,법인,1475973.75,390740.0,313322.5,659407.5,8
30,직원,유치원,748929.4845360825,292900.0,151660.0,533730.0,97
30,직원,전문대학,772763.9534883721,346685.0,226215.0,580365.0,86
30,직원,중학교,499885.0,235675.0,166600.0,306552.5,20
30,직원,초등학교,263170.0,263170.0,263170.0,263170.0,1
30,직원,특수학교,2374680.0,2374680.0,1293220.0,3456140.0,2
